word,unicode_sequence,character_ids,moe_frequency_rank,moe_frequency_score,hk_frequency_rank,foxchild_selection_rank,foxchild_selection_score,foxchild_selection_method,frequency_bucket,foxchild_frequency_tier,foxchild_frequency_tier_method,usage_level,curriculum_priority,character_selection_ceiling,pronunciation_status,learner_definition_en,learner_definition_status,suggested_category,category_method,category_confidence,category_review_status,example_sentence,source_frequency,last_verified,dataset_version
多少,U+591A U+5C11,u591a|u5c11,8,0.0076846486,,1,1,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,16,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
下面,U+4E0B U+9762,u4e0b|u9762,26,0.0038912575,,2,0.99989999,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,21,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
什麼,U+4EC0 U+9EBC,u4ec0|u9ebc,30,0.003793391,,3,0.99979998,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,48,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
我們,U+6211 U+5011,u6211|u5011,37,0.0029934387,,4,0.99969997,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,24,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
千克,U+5343 U+514B,u5343|u514b,57,0.0022551848,,5,0.99959996,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,105,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
可以,U+53EF U+4EE5,u53ef|u4ee5,58,0.0022488022,,6,0.99949995,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,62,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
計算,U+8A08 U+7B97,u8a08|u7b97,69,0.0018232956,,7,0.99939994,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,85,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
怎樣,U+600E U+6A23,u600e|u6a23,71,0.0018105304,,8,0.99929993,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,109,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
課文,U+8AB2 U+6587,u8ab2|u6587,73,0.0017722348,,9,0.99919992,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,98,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
小時,U+5C0F U+6642,u5c0f|u6642,79,0.0016509655,,10,0.99909991,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,32,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
起來,U+8D77 U+4F86,u8d77|u4f86,86,0.001557354,,11,0.9989999,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,64,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
練習,U+7DF4 U+7FD2,u7df4|u7fd2,89,0.0015318236,,12,0.99889989,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,108,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
千米,U+5343 U+7C73,u5343|u7c73,92,0.0015190584,,13,0.99879988,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,51,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
自己,U+81EA U+5DF1,u81ea|u5df1,95,0.0014743802,,14,0.99869987,moe-word-order-filtered-to-selected-characters-v1,moe-word-00001-00100,tier-1-moe-top-500,moe-rank-bands-v1,,,238,contextual-lexical-source-required,,unreviewed,,,,unreviewed,,tw-moe-word-frequency-mainland,2026-07-29,1.1.0
